,Company Name,Date,Curr Rtg,Industry Type,years
24,Starwood Hotels & Resorts Worldwide LLC,2010-10-01,3,Hotels (excluding Casino Hotels) & Motels,10.743547095422903
25,Starwood Hotels & Resorts Worldwide LLC,2012-02-14,2,Hotels (excluding Casino Hotels) & Motels,12.115238505924147
26,Starwood Hotels & Resorts Worldwide LLC,2012-06-08,2,Hotels (excluding Casino Hotels) & Motels,12.430097811727824
27,Starwood Hotels & Resorts Worldwide LLC,2020-10-01,2,Hotels (excluding Casino Hotels) & Motels,20.745121391951923
28,ThermaClime LLC,2000-01-03,4,Basic & Diversified Chemicals Manufacturing,0.0
29,ThermaClime LLC,2000-06-02,5,Basic & Diversified Chemicals Manufacturing,0.41342395805526466
30,Compuware Corp,2000-01-03,2,Other Infrastructure Software,0.0
31,Compuware Corp,2000-10-12,2,Other Infrastructure Software,0.7748276829777476
32,Compuware Corp,2000-11-09,2,Other Infrastructure Software,0.8514890791734259
33,Compuware Corp,2015-03-23,3,Other Infrastructure Software,15.217287144842125
34,Compuware Corp,2020-03-03,3,Infrastructure Software,20.16468510647036
35,Inamed Corp,2000-01-03,3,Surgical Appliances & Supplies Manufacturing,0.0
36,Inamed Corp,2000-10-13,3,Surgical Appliances & Supplies Manufacturing,0.7775655899847361
37,Inamed Corp,2001-01-08,3,Surgical Appliances & Supplies Manufacturing,1.0157634995927363
38,Inamed Corp,2005-03-14,3,Surgical Appliances & Supplies Manufacturing,5.1938095922572
39,Inamed Corp,2005-11-15,3,Surgical Appliances & Supplies Manufacturing,5.867334715976373
40,Westar Energy Inc,2000-01-03,2,Integrated Utilities,0.0
41,Westar Energy Inc,2000-03-29,3,Integrated Utilities,0.23546000260101166
42,Westar Energy Inc,2000-05-19,3,Integrated Utilities,0.37509325995742554
43,Westar Energy Inc,2000-11-09,3,Integrated Utilities,0.8514890791734259
44,Westar Energy Inc,2001-07-25,3,Integrated Utilities,1.5578690869764609
45,Westar Energy Inc,2001-10-19,3,Integrated Utilities,1.7933290895774725
46,Westar Energy Inc,2002-11-05,3,Integrated Utilities,2.8392095662470824
47,Westar Energy Inc,2003-02-06,3,Integrated Utilities,3.0938349178970137
48,Westar Energy Inc,2007-02-27,2,Integrated Utilities,7.151413102253982
49,Westar Energy Inc,2010-04-27,2,Integrated Utilities,10.313695695325709
50,Westar Energy Inc,2014-04-29,2,Integrated Utilities,14.319253646549896
51,Kansas City Power & Light Co,2000-01-03,1,Electricity Marketing - Wholesale,0.0
52,Kansas City Power & Light Co,2000-10-20,1,Electricity Marketing - Wholesale,0.7967309390336558
53,Kansas City Power & Light Co,2002-03-01,2,Electricity Marketing - Wholesale,2.157470721506944
54,Kansas City Power & Light Co,2007-02-07,2,Electricity Marketing - Wholesale,7.096654962114211
55,Kansas City Power & Light Co,2008-07-14,2,Electricity Marketing - Wholesale,8.528580326769202
56,Kansas City Power & Light Co,2014-05-01,2,Electricity Marketing - Wholesale,14.324729460563871
57,American Memorial Life Insurance Co,2000-01-04,2,Life Insurance,0.0
58,American Memorial Life Insurance Co,2003-12-11,1,Life Insurance,3.9343723690424857
59,American Memorial Life Insurance Co,2007-07-17,1,Life Insurance,7.531982176225385
60,American Memorial Life Insurance Co,2007-10-26,1,Life Insurance,7.808510783931224
61,American Memorial Life Insurance Co,2008-12-16,1,Life Insurance,8.950218005845432
62,American Memorial Life Insurance Co,2013-06-24,1,Life Insurance,13.470502474383458
63,American Memorial Life Insurance Co,2020-11-03,1,Life Insurance,20.832734416175555
64,Jabil Inc,2000-01-04,3,Electronics Manufacturing Services (EMS) or Original Design Manufacturing (ODM),0.0
65,Jabil Inc,2001-01-04,3,Electronics Manufacturing Services (EMS) or Original Design Manufacturing (ODM),1.0020739645577939
66,Jabil Inc,2005-08-19,2,Electronics Manufacturing Services (EMS) or Original Design Manufacturing (ODM),5.623660992354394
67,Jabil Inc,2008-04-04,3,Electronics Manufacturing Services (EMS) or Original Design Manufacturing (ODM),8.249313812056373
68,Jabil Inc,2012-12-10,2,Electronics Manufacturing Services (EMS) or Original Design Manufacturing (ODM),12.933872701013708
69,Church Mutual Insurance Co,2000-01-04,1,Property & Casualty Insurance,0.0
70,Church Mutual Insurance Co,2011-02-11,2,Property & Casualty Insurance,11.104950820345387
71,FelCor Lodging Trust Inc,2000-01-04,3,Hotel REIT,0.0
72,FelCor Lodging Trust Inc,2001-09-21,3,Hotel REIT,1.7139297863748058
74,FelCor Lodging Trust Inc,2002-01-08,3,Hotel REIT,2.012361650136553
75,FelCor Lodging Trust Inc,2003-02-05,3,Hotel REIT,3.088359103883037
76,FelCor Lodging Trust Inc,2003-02-13,3,Hotel REIT,3.110262359938945
77,FelCor Lodging Trust Inc,2003-10-31,3,Hotel REIT,3.8221181817559566
78,FelCor Lodging Trust Inc,2003-12-18,3,Hotel REIT,3.9535377180914053
79,FelCor Lodging Trust Inc,2006-01-25,3,Hotel REIT,6.058988206465568
80,FelCor Lodging Trust Inc,2006-10-16,3,Hotel REIT,6.781795656310534
81,FelCor Lodging Trust Inc,2008-08-01,3,Hotel REIT,8.575124745888006
82,FelCor Lodging Trust Inc,2008-10-21,3,Hotel REIT,8.796895213454075
83,FelCor Lodging Trust Inc,2008-12-17,3,Hotel REIT,8.95295591285242
84,FelCor Lodging Trust Inc,2009-10-14,3,Hotel REIT,9.77706592195596
85,FelCor Lodging Trust Inc,2015-04-07,3,Hotel REIT,15.255617842939966
86,FelCor Lodging Trust Inc,2017-04-25,3,Hotel REIT,17.306310191174358
87,United Liberty Life Insurance,2000-01-04,3,,0.0
88,Unistar Insurance Co,2000-01-04,3,,0.0
89,Unistar Insurance Co,2000-01-11,5,,0.019165349048919554
90,Styling Technology Corp,2000-01-04,5,Household Products Manufacturing,0.0
91,Rushmore National Life Insurance,2000-01-04,3,,0.0
92,Fina Inc,2000-01-04,1,Integrated Oils,0.0
93,Tucson Electric Power Co,2000-01-04,3,Integrated Utilities,0.0
94,Tucson Electric Power Co,2003-11-24,3,Integrated Utilities,3.8878279499236807
95,Tucson Electric Power Co,2005-01-06,3,Integrated Utilities,5.00763191578198
96,Tucson Electric Power Co,2008-12-02,3,Integrated Utilities,8.911887307747593
97,Tucson Electric Power Co,2013-08-19,2,Integrated Utilities,13.623825266774814
98,Tucson Electric Power Co,2014-10-28,2,Integrated Utilities,14.814814814814815
99,Tucson Electric Power Co,2017-04-03,1,Integrated Utilities,17.24607623702061
100,Hunter Ridge Holdings Inc,2000-01-05,4,Iron Foundries,0.0
101,Hunter Ridge Holdings Inc,2002-04-29,4,Iron Foundries,2.313531420905289
102,Hunter Ridge Holdings Inc,2002-05-15,5,Iron Foundries,2.357337933017105
103,HPHC Insurance Co Inc,2000-01-05,5,Life Insurance,0.0
104,RAM Energy Inc/Oklahoma,2000-01-05,4,Exploration & Production,0.0
105,RAM Energy Inc/Oklahoma,2001-05-10,4,Exploration & Production,1.3443123404313573
106,RAM Energy Inc/Oklahoma,2001-09-21,4,Exploration & Production,1.7111918793678174
108,Master Graphics Inc/Old,2000-01-05,3,Printing Services,0.0
109,Master Graphics Inc/Old,2000-04-14,4,Printing Services,0.27379070069885075
110,Master Graphics Inc/Old,2000-06-01,5,Printing Services,0.40521023703429915
111,Budget Group Inc,2000-01-05,3,Passenger Vehicle Rental,0.0
112,Budget Group Inc,2000-06-05,3,Passenger Vehicle Rental,0.41616186506225317
113,Budget Group Inc,2001-01-24,3,Passenger Vehicle Rental,1.0540941976905756
114,Budget Group Inc,2001-03-13,3,Passenger Vehicle Rental,1.1855137340260238
115,Budget Group Inc,2001-09-26,3,Passenger Vehicle Rental,1.7248814144027598
117,Budget Group Inc,2002-03-22,4,Passenger Vehicle Rental,2.2094909546397257
118,Budget Group Inc,2002-04-03,5,Passenger Vehicle Rental,2.2423458387235877
119,Enterprise Products Partners LP,2000-01-05,2,Midstream - Oil & Gas,0.0
120,Enterprise Products Partners LP,2002-08-02,2,Midstream - Oil & Gas,2.573632586569197
121,Enterprise Products Partners LP,2003-06-17,2,Midstream - Oil & Gas,3.447024921798531
122,Enterprise Products Partners LP,2003-11-26,2,Midstream - Oil & Gas,3.890565856930669
123,Enterprise Products Partners LP,2003-12-15,2,Midstream - Oil & Gas,3.942586090063451
124,Enterprise Products Partners LP,2004-05-18,3,Midstream - Oil & Gas,4.366961676146669
125,Enterprise Products Partners LP,2006-12-19,2,Midstream - Oil & Gas,6.95428379775081
126,Enterprise Products Partners LP,2012-01-12,2,Midstream - Oil & Gas,12.019411760679548
127,Enterprise Products Partners LP,2013-02-27,2,Midstream - Oil & Gas,13.147429447558812
128,Premier Graphics Inc /DE,2000-01-05,3,Printing Services,0.0
129,Premier Graphics Inc /DE,2000-04-14,4,Printing Services,0.27379070069885075
130,Premier Graphics Inc /DE,2000-06-01,5,Printing Services,0.40521023703429915
131,Premcor USA Inc,2000-01-05,3,Refining & Marketing,0.0
132,Premcor USA Inc,2001-04-13,3,Refining & Marketing,1.2703888512426675
133,Premcor USA Inc,2002-04-30,3,Refining & Marketing,2.3162693279122775
134,Premcor USA Inc,2005-04-25,3,Refining & Marketing,5.303325872536739
135,Transocean Inc,2000-01-05,1,Drilling & Drilling Support,0.0
136,Transocean Inc,2000-08-22,1,Drilling & Drilling Support,0.6297186116073568
137,Transocean Inc,2001-01-31,1,Drilling & Drilling Support,1.073259546739495
138,Transocean Inc,2007-07-23,2,Drilling & Drilling Support,7.545671711260327
139,Transocean Inc,2007-11-26,2,Drilling & Drilling Support,7.8906479941408785
140,Transocean Inc,2010-06-08,2,Drilling & Drilling Support,10.423211975605248
141,Transocean Inc,2010-09-08,2,Drilling & Drilling Support,10.675099420248191
142,Transocean Inc,2011-08-16,2,Drilling & Drilling Support,11.611463616638261
143,Transocean Inc,2011-10-05,2,Drilling & Drilling Support,11.748358966987686
144,Transocean Inc,2015-01-07,2,Drilling & Drilling Support,15.00646830530401
145,Transocean Inc,2015-03-19,3,Drilling & Drilling Support,15.200859702800194
146,Transocean Inc,2016-05-17,3,Drilling & Drilling Support,16.364470180770308
147,Transocean Inc,2017-01-10,3,Drilling & Drilling Support,17.016092048433574
148,Transocean Inc,2017-10-04,3,Drilling & Drilling Support,17.747113219299507
149,Transocean Inc,2019-09-25,4,Drilling & Drilling Support,19.72114417133822
150,Transocean Inc,2020-04-20,4,Drilling & Drilling Support,20.290628828791828
151,Transocean Inc,2020-08-06,5,Drilling & Drilling Support,20.58632278554659
152,Harvard Pilgrim Health Care Inc,2000-01-05,5,Health Care Services,0.0
153,Imperial Home Decor Group Inc,2000-01-05,5,Home Decoration Products Manufacturing,0.0
154,Tokheim Corp,2000-01-05,4,Industrial Machinery Manufacturing,0.0
155,Tokheim Corp,2000-08-01,5,Industrial Machinery Manufacturing,0.572222564460598
156,Valley Resources Inc,2000-01-05,2,Gas Distribution,0.0
157,Valley Resources Inc,2002-12-23,2,Gas Distribution,2.965153288568554
158,Premcor Refining Group Inc/The,2000-01-05,3,Refining & Marketing,0.0
159,Premcor Refining Group Inc/The,2005-04-25,3,Refining & Marketing,5.303325872536739
160,Specialty Retailers Inc/TX,2000-01-06,3,Specialty Apparel Stores,0.0
161,Specialty Retailers Inc/TX,2000-04-06,3,Specialty Apparel Stores,0.24914953763595418
162,Specialty Retailers Inc/TX,2000-06-02,5,Specialty Apparel Stores,0.40521023703429915
163,Freeport Minerals Corp,2000-01-06,2,Copper,0.0
164,Freeport Minerals Corp,2001-07-30,2,Copper,1.5633449009904379
165,Freeport Minerals Corp,2005-02-09,2,Copper,5.095244940005613
166,Freeport Minerals Corp,2006-07-18,2,Copper,6.529908211667591
167,Freeport Minerals Corp,2006-09-06,2,Copper,6.666803562017016
168,Freeport Minerals Corp,2006-11-20,2,Copper,6.872146587541154
169,Freeport Minerals Corp,2007-02-24,3,Copper,7.134985660212051
170,Freeport Minerals Corp,2007-04-04,3,Copper,7.2417640334846025
171,Freeport Minerals Corp,2008-04-08,2,Copper,8.25478962607035
172,Freeport Minerals Corp,2011-06-02,2,Copper,11.403382684107134
173,Freeport Minerals Corp,2011-07-29,2,Copper,11.55944338350548
174,Freeport Minerals Corp,2015-02-11,2,Copper,15.09955714354162
175,Freeport Minerals Corp,2016-02-12,3,Copper,16.101631108099415
176,Freeport Minerals Corp,2016-09-28,3,Copper,16.728611812699782
177,Stage Stores Inc/DE,2000-01-06,3,Family Clothing Stores,0.0
178,Stage Stores Inc/DE,2000-04-06,3,Family Clothing Stores,0.24914953763595418
179,Stage Stores Inc/DE,2000-06-02,5,Family Clothing Stores,0.40521023703429915
180,Mercy Health Plans of Missouri Inc,2000-01-06,1,Managed Care,0.0
181,Mercy Health Plans of Missouri Inc,2001-07-23,1,Managed Care,1.5441795519415182
182,AGL Life Assurance Co,2000-01-06,1,Life Insurance,0.0
183,AGL Life Assurance Co,2001-04-30,1,Life Insurance,1.3141953633544836
184,AGL Life Assurance Co,2002-07-30,1,Life Insurance,2.562680958541243
185,AGL Life Assurance Co,2002-10-16,1,Life Insurance,2.7762377050863467
186,AGL Life Assurance Co,2003-08-29,1,Life Insurance,3.6441542263017035
187,AGL Life Assurance Co,2007-03-15,1,Life Insurance,7.187005893344832
188,AGL Life Assurance Co,2008-10-31,2,Life Insurance,8.818798469509982
189,AGL Life Assurance Co,2009-08-06,3,Life Insurance,9.582674524459776
190,AGL Life Assurance Co,2010-01-06,3,Life Insurance,10.001574296529018
191,AGL Life Assurance Co,2010-02-12,3,Life Insurance,10.102876855787594
192,AGL Life Assurance Co,2010-10-19,3,Life Insurance,10.78461570052773
193,Freeport-McMoRan Corp,2000-01-06,2,Base Metals,0.0
194,Freeport-McMoRan Corp,2001-07-30,2,Base Metals,1.5633449009904379
195,Freeport-McMoRan Corp,2005-02-09,2,Base Metals,5.095244940005613
196,Freeport-McMoRan Corp,2006-07-18,2,Base Metals,6.529908211667591
197,Freeport-McMoRan Corp,2006-09-06,2,Base Metals,6.666803562017016
198,Freeport-McMoRan Corp,2006-11-20,2,Base Metals,6.872146587541154
199,Freeport-McMoRan Corp,2007-02-28,3,Base Metals,7.145937288240005
200,Freeport-McMoRan Corp,2007-04-04,3,Base Metals,7.2417640334846025
201,Freeport-McMoRan Corp,2008-04-08,2,Base Metals,8.25478962607035
202,Freeport-McMoRan Corp,2011-06-02,2,Base Metals,11.403382684107134
203,Freeport-McMoRan Corp,2011-07-29,2,Base Metals,11.55944338350548
204,Freeport-McMoRan Corp,2015-02-11,2,Base Metals,15.09955714354162
205,Freeport-McMoRan Corp,2016-02-12,3,Base Metals,16.101631108099415
206,Freeport-McMoRan Corp,2016-09-28,3,Base Metals,16.728611812699782
207,Cyprus Amax Minerals Co,2000-01-06,2,Other Mined Minerals,0.0
208,Cyprus Amax Minerals Co,2001-07-30,2,Other Mined Minerals,1.5633449009904379
209,Cyprus Amax Minerals Co,2005-02-09,2,Other Mined Minerals,5.095244940005613
210,Cyprus Amax Minerals Co,2006-07-18,2,Other Mined Minerals,6.529908211667591
211,Cyprus Amax Minerals Co,2006-09-06,2,Other Mined Minerals,6.666803562017016
212,Cyprus Amax Minerals Co,2006-11-20,2,Other Mined Minerals,6.872146587541154
213,Cyprus Amax Minerals Co,2007-02-28,3,Other Mined Minerals,7.145937288240005
214,Cyprus Amax Minerals Co,2007-04-04,3,Other Mined Minerals,7.2417640334846025
215,Cyprus Amax Minerals Co,2008-04-08,2,Other Mined Minerals,8.25478962607035
216,Cyprus Amax Minerals Co,2011-06-02,2,Other Mined Minerals,11.403382684107134
217,Cyprus Amax Minerals Co,2011-07-29,2,Other Mined Minerals,11.55944338350548
218,Cyprus Amax Minerals Co,2015-02-11,2,Other Mined Minerals,15.09955714354162
219,Cyprus Amax Minerals Co,2016-02-12,3,Other Mined Minerals,16.101631108099415
220,Cyprus Amax Minerals Co,2016-09-28,3,Other Mined Minerals,16.728611812699782
221,E.ON US Capital Corp,2000-01-07,1,Utility Networks,0.0
222,E.ON US Capital Corp,2000-02-28,1,Utility Networks,0.14237116436340239
223,E.ON US Capital Corp,2000-12-06,2,Utility Networks,0.9144609403341615
224,E.ON US Capital Corp,2001-04-09,2,Utility Networks,1.2539614092007363
225,E.ON US Capital Corp,2002-09-12,1,Utility Networks,2.680410959841749
226,E.ON US Capital Corp,2003-08-04,2,Utility Networks,3.572968644120002
227,Casella Waste Systems Inc,2000-01-07,3,Solid Waste Collection & Treatment,0.0
228,Casella Waste Systems Inc,2009-01-26,3,Solid Waste Collection & Treatment,9.054258472110995
229,Casella Waste Systems Inc,2009-05-15,3,Solid Waste Collection & Treatment,9.352690335872742
230,Casella Waste Systems Inc,2009-06-25,3,Solid Waste Collection & Treatment,9.464944523159271
231,Casella Waste Systems Inc,2012-03-08,3,Solid Waste Collection & Treatment,12.167258739056928
232,Casella Waste Systems Inc,2013-03-19,3,Solid Waste Collection & Treatment,13.196711773684607
233,Casella Waste Systems Inc,2016-02-25,3,Solid Waste Collection & Treatment,16.134485992183276
234,Casella Waste Systems Inc,2018-02-26,3,Solid Waste Collection & Treatment,18.13863392129886
235,Casella Waste Systems Inc,2019-02-25,3,Solid Waste Collection & Treatment,19.13523207184268
236,Reinsurance Group of America Inc,2000-01-07,1,Life Reinsurance,0.0
237,Reinsurance Group of America Inc,2003-03-19,1,Life Reinsurance,3.1951374771555883
238,Reinsurance Group of America Inc,2005-01-31,1,Life Reinsurance,5.067865869935727
239,Reinsurance Group of America Inc,2005-07-01,1,Life Reinsurance,5.4812898279909925
240,General Life Insurance Co,2000-01-07,1,,0.0
241,Citadel Communications Corp,2000-01-07,3,Radio Broadcasting,0.0
242,Citadel Communications Corp,2001-01-16,3,Radio Broadcasting,1.0267151276206903
243,Louisville Gas & Electric Co,2000-01-07,1,Integrated Utilities,0.0
244,Louisville Gas & Electric Co,2000-02-07,1,Integrated Utilities,0.08487511721664373
245,Louisville Gas & Electric Co,2000-02-28,1,Integrated Utilities,0.14237116436340239
246,Louisville Gas & Electric Co,2000-12-06,2,Integrated Utilities,0.9144609403341615
247,Louisville Gas & Electric Co,2001-04-09,2,Integrated Utilities,1.2539614092007363
248,Louisville Gas & Electric Co,2002-09-12,1,Integrated Utilities,2.680410959841749
249,Louisville Gas & Electric Co,2003-08-04,2,Integrated Utilities,3.572968644120002
250,Louisville Gas & Electric Co,2011-03-02,2,Integrated Utilities,11.148757332457203
251,Louisville Gas & Electric Co,2011-04-15,2,Integrated Utilities,11.269225240764698
252,Louisville Gas & Electric Co,2014-06-10,2,Integrated Utilities,14.423294112815459
253,Louisville Gas & Electric Co,2015-06-01,1,Integrated Utilities,15.397989007303366
254,Kentucky Utilities Co,2000-01-07,1,Integrated Utilities,0.0
255,Kentucky Utilities Co,2000-02-07,1,Integrated Utilities,0.08487511721664373
256,Kentucky Utilities Co,2000-02-28,1,Integrated Utilities,0.14237116436340239
257,Kentucky Utilities Co,2000-12-06,2,Integrated Utilities,0.9144609403341615
258,Kentucky Utilities Co,2001-04-09,2,Integrated Utilities,1.2539614092007363
259,Kentucky Utilities Co,2002-09-12,1,Integrated Utilities,2.680410959841749
260,Kentucky Utilities Co,2003-08-04,2,Integrated Utilities,3.572968644120002
261,Kentucky Utilities Co,2011-03-02,2,Integrated Utilities,11.148757332457203
262,Kentucky Utilities Co,2011-04-15,2,Integrated Utilities,11.269225240764698
263,Kentucky Utilities Co,2014-06-10,2,Integrated Utilities,14.423294112815459
264,Kentucky Utilities Co,2015-06-01,1,Integrated Utilities,15.397989007303366
265,GenAmerica Financial Corp,2000-01-07,1,,0.0
266,GenAmerica Financial Corp,2005-01-31,1,,5.067865869935727
267,GenAmerica Financial Corp,2005-07-01,1,,5.481289827990992
268,Clark Fork & Blackfoot LLC,2000-01-07,2,Integrated Utilities,0.0
269,Clark Fork & Blackfoot LLC,2001-11-14,2,Integrated Utilities,1.8535630437312196
270,Clark Fork & Blackfoot LLC,2002-12-30,3,Integrated Utilities,2.9788428236034963
271,Aavid Thermal Technologies Inc,2000-01-07,3,Electrical Components Manufacturing,0.0
272,Aavid Thermal Technologies Inc,2001-02-23,3,Electrical Components Manufacturing,1.1307555938862537
273,Aavid Thermal Technologies Inc,2001-11-14,4,Electrical Components Manufacturing,1.8535630437312198
274,General American Life Insurance Co,2000-01-07,1,Life Insurance,0.0
275,General American Life Insurance Co,2002-04-23,1,Life Insurance,2.291628164849381
276,General American Life Insurance Co,2010-02-03,1,Life Insurance,10.075497785717708
277,General American Life Insurance Co,2010-08-06,1,Life Insurance,10.579272675003594
278,General American Life Insurance Co,2016-01-13,1,Life Insurance,16.01675599088277
279,General American Life Insurance Co,2016-08-05,1,Life Insurance,16.578026927315417
280,RGA Reinsurance Co,2000-01-07,1,Reinsurance,0.0
281,RGA Reinsurance Co,2003-03-19,1,Reinsurance,3.1951374771555883
282,RGA Reinsurance Co,2005-01-31,1,Reinsurance,5.067865869935727
283,RGA Reinsurance Co,2005-07-01,1,Reinsurance,5.4812898279909925
284,LG&E & KU Energy LLC,2000-01-07,1,Integrated Utilities,0.0
285,LG&E & KU Energy LLC,2000-02-28,1,Integrated Utilities,0.14237116436340239
286,LG&E & KU Energy LLC,2000-12-06,2,Integrated Utilities,0.9144609403341615
287,LG&E & KU Energy LLC,2001-04-09,2,Integrated Utilities,1.2539614092007363
288,LG&E & KU Energy LLC,2002-09-12,1,Integrated Utilities,2.680410959841749
289,LG&E & KU Energy LLC,2003-08-04,2,Integrated Utilities,3.572968644120002
290,LG&E & KU Energy LLC,2011-03-02,2,Integrated Utilities,11.148757332457203
291,LG&E & KU Energy LLC,2011-04-15,2,Integrated Utilities,11.269225240764698
292,LG&E & KU Energy LLC,2014-06-10,2,Integrated Utilities,14.423294112815459
293,LG&E & KU Energy LLC,2015-06-01,1,Integrated Utilities,15.397989007303366
294,Penncorp Financial Group Inc,2000-01-10,4,Life Insurance,0.0
295,Penncorp Financial Group Inc,2000-02-07,5,Life Insurance,0.07666139619567822
296,Emmis Communications Corp,2000-01-10,3,Radio Stations,0.0
297,Emmis Communications Corp,2005-05-11,3,Radio Stations,5.333442849613613
298,Emmis Communications Corp,2006-10-12,3,Radio Stations,6.754416586240648
299,Emmis Communications Corp,2009-04-14,4,Radio Stations,9.259601497635133
300,Emmis Communications Corp,2009-04-21,5,Radio Stations,9.278766846684052
301,Southwestern Life Insurance Co,2000-01-10,3,Life Insurance,0.0
302,Southwestern Life Insurance Co,2000-03-27,3,Life Insurance,0.2108188395381151
303,Historic AOL LLC,2000-01-10,3,Display Advertising,0.0
304,Historic AOL LLC,2001-01-12,2,Display Advertising,1.0075497785717709
305,Historic AOL LLC,2002-08-21,2,Display Advertising,2.6119632846670364
306,Historic AOL LLC,2003-10-24,2,Display Advertising,3.786525390665106
307,Time Warner Entertainment Co LP,2000-01-10,2,Cable & Satellite,0.0
308,Time Warner Entertainment Co LP,2001-01-12,2,Cable & Satellite,1.0075497785717709
309,Time Warner Entertainment Co LP,2002-08-21,2,Cable & Satellite,2.6119632846670364
310,Time Warner Entertainment Co LP,2003-10-24,2,Cable & Satellite,3.786525390665106
311,Time Warner Entertainment Co LP,2005-11-02,2,Cable & Satellite,5.8125765758366015
312,Time Warner Entertainment Co LP,2006-03-14,2,Cable & Satellite,6.1739803007590845
313,Time Warner Entertainment Co LP,2006-08-02,2,Cable & Satellite,6.560025188744465
314,Time Warner Entertainment Co LP,2006-10-31,2,Cable & Satellite,6.80643681937343
315,Time Warner Entertainment Co LP,2007-11-07,2,Cable & Satellite,7.824938225973155
316,Time Warner Entertainment Co LP,2014-02-13,2,Cable & Satellite,14.094745271976837
317,Time Warner Entertainment Co LP,2015-04-27,2,Cable & Satellite,15.293948541037805
318,Time Warner Entertainment Co LP,2015-05-26,2,Cable & Satellite,15.37334784424047
319,Paracelsus Healthcare Corp,2000-01-10,3,Hospitals,0.0
320,Paracelsus Healthcare Corp,2000-02-16,5,Hospitals,0.10130255925857479
321,Metricom Inc,2000-01-10,3,Wireline Telecommunications Services,0.0
322,Metricom Inc,2001-02-14,4,Wireline Telecommunications Services,1.0979007098023916
323,Metricom Inc,2001-07-03,5,Wireline Telecommunications Services,1.4784697837737941
324,Historic TW Inc,2000-01-10,2,Publishing & Broadcasting,0.0
325,Historic TW Inc,2001-01-12,2,Publishing & Broadcasting,1.0075497785717709
326,Historic TW Inc,2002-08-21,2,Publishing & Broadcasting,2.6119632846670364
327,Historic TW Inc,2003-10-24,2,Publishing & Broadcasting,3.786525390665106
328,Historic TW Inc,2005-11-02,2,Publishing & Broadcasting,5.8125765758366015
329,Historic TW Inc,2006-03-14,2,Publishing & Broadcasting,6.1739803007590845
330,Historic TW Inc,2006-08-02,2,Publishing & Broadcasting,6.560025188744465
331,Historic TW Inc,2006-10-31,2,Publishing & Broadcasting,6.80643681937343
332,Historic TW Inc,2007-11-07,2,Publishing & Broadcasting,7.824938225973155
333,Historic TW Inc,2016-10-24,2,Publishing & Broadcasting,16.78884576685353
334,Turner Broadcasting System Inc,2000-01-10,2,Local TV & Radio Broadcast,0.0
335,Turner Broadcasting System Inc,2001-01-12,2,Local TV & Radio Broadcast,1.0075497785717709
336,Turner Broadcasting System Inc,2002-08-21,2,Local TV & Radio Broadcast,2.6119632846670364
337,Turner Broadcasting System Inc,2003-10-24,2,Local TV & Radio Broadcast,3.786525390665106
338,Turner Broadcasting System Inc,2005-11-02,2,Local TV & Radio Broadcast,5.8125765758366015
