,Company Name,Date,Curr Rtg,Industry Type,years,Year,GDP,PX_LAST
33,Brixmor LLC,2014-10-31,3,Retail Owners & Developers,14.683395278479367,2014,0.042004617799445976,-0.1949118628986053
34,Essentia Insurance Co,2014-07-01,1,Property & Casualty Insurance,14.34663271661978,2014,0.042004617799445976,-0.1949118628986053
35,Aetna Life Insurance Co,2014-04-29,1,Life Insurance,14.157717133137574,2014,0.042004617799445976,-0.1949118628986053
36,Iron Mountain Inc,2014-06-30,3,Specialty & Other Property REIT,14.324729460563873,2014,0.042004617799445976,-0.1949118628986053
37,Occidental Petroleum Corp,2014-02-18,1,Crude Oil & Natural Gas Exploration & Production,13.949636200606447,2014,0.042004617799445976,-0.1949118628986053
38,Occidental Petroleum Corp,2014-12-18,1,Crude Oil & Natural Gas Exploration & Production,14.779222023723964,2014,0.042004617799445976,-0.1949118628986053
39,Gentiva Health Services Inc,2014-10-09,3,Home Health Care Services,14.571141091192837,2014,0.042004617799445976,-0.1949118628986053
40,Assured Guaranty Municipal Holdings Inc,2014-03-18,1,Property & Casualty Insurance,14.009870154760193,2014,0.042004617799445976,-0.1949118628986053
41,Dairy Farmers of America Inc,2014-06-30,2,Dairy & Egg Products Manufacturing,14.29187457648001,2014,0.042004617799445976,-0.1949118628986053
42,Viasystems Group Inc,2014-03-31,3,Printed Circuit Boards (PCB),14.039987131837067,2014,0.042004617799445976,-0.1949118628986053
43,General Motors Financial Co Inc,2014-09-05,3,Automobiles Manufacturing,14.458886903906308,2014,0.042004617799445976,-0.1949118628986053
44,General Motors Financial Co Inc,2014-09-25,2,Automobiles Manufacturing,14.51364504404608,2014,0.042004617799445976,-0.1949118628986053
45,Chicago Title Insurance Co,2014-10-30,1,Property & Casualty Insurance,14.606733882283688,2014,0.042004617799445976,-0.1949118628986053
46,Ohio Casualty Insurance Co,2014-07-17,1,Property & Casualty Insurance,14.319253646549896,2014,0.042004617799445976,-0.1949118628986053
47,Ohio Casualty Corp,2014-07-17,2,Property & Casualty Insurance,14.319253646549896,2014,0.042004617799445976,-0.1949118628986053
48,Iroquois Gas Transmission System LP,2014-06-18,2,Gas Distribution,14.223426901305297,2014,0.042004617799445976,-0.1949118628986053
49,Range Resources Corp,2014-10-16,3,Crude Oil & Natural Gas Exploration & Production,14.551975742143918,2014,0.042004617799445976,-0.1949118628986053
50,tw telecom inc,2014-06-16,3,Wireline Telecommunications Services,14.212475273277343,2014,0.042004617799445976,-0.1949118628986053
51,tw telecom inc,2014-11-05,3,Wireline Telecommunications Services,14.601258068269711,2014,0.042004617799445976,-0.1949118628986053
52,Graham Holdings Co,2014-11-18,2,Educational Services,14.384963414717618,2014,0.042004617799445976,-0.1949118628986053
53,Jones Lang LaSalle Inc,2014-12-11,2,Real Estate Services,14.447935275878354,2014,0.042004617799445976,-0.1949118628986053
54,Chicago Insurance Co Corp,2014-09-19,1,Property & Casualty Insurance,14.223426901305297,2014,0.042004617799445976,-0.1949118628986053
55,Chicago Insurance Co Corp,2014-12-15,1,Property & Casualty Insurance,14.461624810913296,2014,0.042004617799445976,-0.1949118628986053
56,Interstate Fire & Casualty Co,2014-09-19,1,Life Insurance,14.223426901305297,2014,0.042004617799445976,-0.1949118628986053
57,Interstate Fire & Casualty Co,2014-12-15,1,Life Insurance,14.461624810913296,2014,0.042004617799445976,-0.1949118628986053
58,TEGNA Inc,2014-06-06,3,Local TV Broadcasting,13.935946665571503,2014,0.042004617799445976,-0.1949118628986053
59,MGIC Investment Corp,2014-02-27,3,Mortgage Insurance,13.66763177888663,2014,0.042004617799445976,-0.1949118628986053
60,MGIC Investment Corp,2014-11-20,3,Mortgage Insurance,14.395915042745573,2014,0.042004617799445976,-0.1949118628986053
61,Southwestern Energy Co,2014-06-27,2,Natural Gas Production,14.012608061767182,2014,0.042004617799445976,-0.1949118628986053
62,Southwestern Energy Co,2014-10-16,2,Natural Gas Production,14.316515739542906,2014,0.042004617799445976,-0.1949118628986053
63,Meritor Inc,2014-11-18,3,Commercial Vehicle Other Parts Manufacturing & Services,14.415080391794493,2014,0.042004617799445976,-0.1949118628986053
64,Stillwater Mining Co,2014-08-13,3,Platinum Group Metals,14.157717133137574,2014,0.042004617799445976,-0.1949118628986053
65,Jason Inc,2014-03-18,3,Auto Parts Manufacturing,13.755244803110264,2014,0.042004617799445976,-0.1949118628986053
66,Jason Inc,2014-04-29,3,Auto Parts Manufacturing,13.870236897403782,2014,0.042004617799445976,-0.1949118628986053
67,SLM Corp,2014-04-30,3,Consumer Finance,13.872974804410768,2014,0.042004617799445976,-0.1949118628986053
68,E*TRADE Bank,2014-06-30,3,Banks,14.048200852858033,2014,0.042004617799445976,-0.1949118628986053
69,E*TRADE Bank,2014-11-12,3,Banks,14.417818298801482,2014,0.042004617799445976,-0.1949118628986053
70,E*TRADE Financial Corp,2014-06-30,3,Retail Securities Brokerage,14.048200852858033,2014,0.042004617799445976,-0.1949118628986053
71,E*TRADE Financial Corp,2014-11-12,3,Retail Securities Brokerage,14.417818298801482,2014,0.042004617799445976,-0.1949118628986053
72,Dollar General Corp,2014-08-18,2,Dollar Stores,14.196047831235411,2014,0.042004617799445976,-0.1949118628986053
73,Leucadia National Corp,2014-12-11,2,Investment Holding Companies,14.543762021122953,2014,0.042004617799445976,-0.1949118628986053
74,Prime Property Fund LLC,2014-04-08,1,Multi Asset Class REIT,13.867498990396792,2014,0.042004617799445976,-0.1949118628986053
75,Prime Property Fund LLC,2014-06-26,1,Multi Asset Class REIT,14.083793643948884,2014,0.042004617799445976,-0.1949118628986053
76,Orbital Sciences Corp,2014-04-29,3,Missile & Space Vehicles Manufacturing,13.927732944550538,2014,0.042004617799445976,-0.1949118628986053
77,Oxford Health Plans NY Inc,2014-11-03,1,Managed Care,14.445197368871366,2014,0.042004617799445976,-0.1949118628986053
78,Scientific Games Corp/DE,2014-08-01,3,Gaming Equipment Manufacturing,14.193309924228423,2014,0.042004617799445976,-0.1949118628986053
79,Scientific Games Corp/DE,2014-09-03,3,Gaming Equipment Manufacturing,14.283660855459043,2014,0.042004617799445976,-0.1949118628986053
80,Midcontinent Independent System Operator Inc,2014-07-17,1,Electricity Transmission,14.18235829620047,2014,0.042004617799445976,-0.1949118628986053
81,Telephone & Data Systems Inc,2014-04-04,3,Wireless Telecommunications Services,13.900353874480654,2014,0.042004617799445976,-0.1949118628986053
82,Telephone & Data Systems Inc,2014-11-24,3,Wireless Telecommunications Services,14.541024114115965,2014,0.042004617799445976,-0.1949118628986053
83,United States Cellular Corp,2014-04-04,3,Wireless Telecommunications Services,13.900353874480654,2014,0.042004617799445976,-0.1949118628986053
84,United States Cellular Corp,2014-11-24,3,Wireless Telecommunications Services,14.541024114115965,2014,0.042004617799445976,-0.1949118628986053
85,Cleco Corporate Holdings LLC,2014-10-21,2,Integrated Utilities,14.453411089892331,2014,0.042004617799445976,-0.1949118628986053
86,Cleco Power LLC,2014-10-21,2,Integrated Utilities,14.453411089892331,2014,0.042004617799445976,-0.1949118628986053
87,WestRock RKT Co,2014-05-09,2,Corrugated Packaging Materials Manufacturing,14.001656433739228,2014,0.042004617799445976,-0.1949118628986053
88,Bankers Life & Casualty Co,2014-03-03,2,Life Insurance,13.903091781487642,2014,0.042004617799445976,-0.1949118628986053
89,Bankers Life & Casualty Co,2014-07-02,2,Life Insurance,14.23437852933325,2014,0.042004617799445976,-0.1949118628986053
90,Wilco Life Insurance Co,2014-03-03,3,Life Insurance,13.903091781487642,2014,0.042004617799445976,-0.1949118628986053
91,Halliburton Co,2014-11-17,1,Diversified Oilfield Services,14.54649992812994,2014,0.042004617799445976,-0.1949118628986053
92,Masco Corp,2014-12-19,2,Plumbing Fixture Fitting & Trim Manufacturing,14.645064580381527,2014,0.042004617799445976,-0.1949118628986053
93,Cablevision Systems Corp,2014-02-14,3,Cable & Satellite,13.810002943250032,2014,0.042004617799445976,-0.1949118628986053
94,CSC Holdings LLC,2014-02-14,3,Cable & Satellite,13.810002943250032,2014,0.042004617799445976,-0.1949118628986053
95,Plains All American Pipeline LP,2014-12-02,2,Midstream - Oil & Gas,14.606733882283688,2014,0.042004617799445976,-0.1949118628986053
96,First Insurance Co of Hawaii Ltd,2014-11-11,1,Property & Casualty Insurance,14.557451556157895,2014,0.042004617799445976,-0.1949118628986053
97,American Seafoods Group LLC,2014-08-26,4,Fish & Seafood Wholesalers,14.395915042745573,2014,0.042004617799445976,-0.1949118628986053
98,Chesapeake Energy Corp,2014-05-16,3,Crude Oil & Natural Gas Exploration & Production,13.862023176382815,2014,0.042004617799445976,-0.1949118628986053
99,Micron Technology Inc,2014-06-30,3,Memory Integrated Circuits,13.985228991697296,2014,0.042004617799445976,-0.1949118628986053
100,Sabine Oil & Gas Corp,2014-02-28,3,Natural Gas Production,13.637514801809756,2014,0.042004617799445976,-0.1949118628986053
101,Sabine Oil & Gas Corp,2014-05-08,3,Natural Gas Production,13.826430385291964,2014,0.042004617799445976,-0.1949118628986053
102,Hawkeye-Security Insurance Co,2014-07-17,1,Property & Casualty Insurance,13.993442712718263,2014,0.042004617799445976,-0.1949118628986053
103,Crown Holdings Inc,2014-05-13,3,Metal Containers Manufacturing,13.79631340821509,2014,0.042004617799445976,-0.1949118628986053
104,Mediacom Communications Corp,2014-01-22,3,Cable & Satellite,13.475978288397435,2014,0.042004617799445976,-0.1949118628986053
105,Target Corp,2014-03-28,1,SuperCenters,13.645728522830723,2014,0.042004617799445976,-0.1949118628986053
106,NRG REMA LLC,2014-10-20,3,Power Generation,14.196047831235411,2014,0.042004617799445976,-0.1949118628986053
107,American Family Mutual Insurance Co,2014-11-02,2,Property & Casualty Insurance,14.226164808312285,2014,0.042004617799445976,-0.1949118628986053
108,Bally Technologies Inc,2014-08-01,3,Casinos & Gaming,13.955112014620424,2014,0.042004617799445976,-0.1949118628986053
109,Bally Technologies Inc,2014-09-03,3,Casinos & Gaming,14.045462945851044,2014,0.042004617799445976,-0.1949118628986053
110,Albertson's LLC,2014-03-28,3,Supermarkets,13.593708289697942,2014,0.042004617799445976,-0.1949118628986053
111,Albertson's LLC,2014-07-29,3,Supermarkets,13.930470851557528,2014,0.042004617799445976,-0.1949118628986053
112,PetSmart Inc,2014-12-15,3,Pet & Pet Supplies Stores,14.297350390493987,2014,0.042004617799445976,-0.1949118628986053
113,Martin Marietta Materials Inc,2014-01-28,2,Aggregates,13.388365264173803,2014,0.042004617799445976,-0.1949118628986053
114,Martin Marietta Materials Inc,2014-07-10,2,Aggregates,13.834644106312929,2014,0.042004617799445976,-0.1949118628986053
115,Tenneco Inc,2014-04-30,3,Exhausts & Emissions Manufacturing,13.640252708816744,2014,0.042004617799445976,-0.1949118628986053
116,Hewlett-Packard Finance Co,2014-10-06,2,Personal Computers,14.064628294899965,2014,0.042004617799445976,-0.1949118628986053
117,HP Inc,2014-10-06,2,Personal Computers,14.064628294899965,2014,0.042004617799445976,-0.1949118628986053
118,Excelsior Insurance Co,2014-07-17,1,Insurance Brokers,13.826430385291964,2014,0.042004617799445976,-0.1949118628986053
119,Netherlands Insurance Co/The,2014-07-17,1,Property & Casualty Insurance,13.826430385291964,2014,0.042004617799445976,-0.1949118628986053
120,America First Insurance Co,2014-07-17,1,Insurance Services & Other,13.826430385291964,2014,0.042004617799445976,-0.1949118628986053
121,Indiana Insurance Co,2014-07-17,1,Property & Casualty Insurance,13.826430385291964,2014,0.042004617799445976,-0.1949118628986053
122,Peerless Insurance Co,2014-07-17,1,Insurance Services & Other,13.826430385291964,2014,0.042004617799445976,-0.1949118628986053
123,Swift Energy Co/Texas,2014-11-14,3,Crude Oil & Natural Gas Exploration & Production,14.130338063067688,2014,0.042004617799445976,-0.1949118628986053
124,Phibro Animal Health Corp,2014-03-11,3,Animal Feed Manufacturing,13.437647590299596,2014,0.042004617799445976,-0.1949118628986053
125,Phibro Animal Health Corp,2014-04-18,3,Animal Feed Manufacturing,13.54168805656516,2014,0.042004617799445976,-0.1949118628986053
126,Tyson Fresh Meats Inc,2014-06-10,2,Animal Processing,13.686797127935549,2014,0.042004617799445976,-0.1949118628986053
127,Tyson Fresh Meats Inc,2014-07-31,2,Animal Processing,13.826430385291964,2014,0.042004617799445976,-0.1949118628986053
128,Enbridge Energy LP,2014-09-24,2,Midstream - Oil & Gas,13.955112014620425,2014,0.042004617799445976,-0.1949118628986053
129,Enbridge Energy LP,2014-11-21,2,Midstream - Oil & Gas,14.11391062102576,2014,0.042004617799445976,-0.1949118628986053
130,Enbridge Energy LP,2014-12-04,2,Midstream - Oil & Gas,14.14950341211661,2014,0.042004617799445976,-0.1949118628986053
131,Kinder Morgan Energy Partners LP,2014-08-11,2,Dry Natural Gas Pipelines,13.834644106312929,2014,0.042004617799445976,-0.1949118628986053
132,Kinder Morgan Energy Partners LP,2014-11-20,2,Dry Natural Gas Pipelines,14.111172714018767,2014,0.042004617799445976,-0.1949118628986053
133,Appalachian Insurance Co,2014-11-02,2,Property & Casualty Insurance,14.039987131837066,2014,0.042004617799445976,-0.1949118628986053
134,Factory Mutual Insurance Co,2014-11-02,2,Property & Casualty Insurance,14.039987131837066,2014,0.042004617799445976,-0.1949118628986053
135,Factory Mutual Insurance Co,2014-11-24,2,Property & Casualty Insurance,14.100221085990814,2014,0.042004617799445976,-0.1949118628986053
136,Affiliated FM Insurance Co,2014-11-02,2,Property & Casualty Insurance,14.039987131837066,2014,0.042004617799445976,-0.1949118628986053
137,Affiliated FM Insurance Co,2014-11-24,2,Property & Casualty Insurance,14.100221085990814,2014,0.042004617799445976,-0.1949118628986053
138,International Rectifier Corp,2014-03-13,3,Power Management,13.396578985194768,2014,0.042004617799445976,-0.1949118628986053
139,Nokia of America Corp,2014-08-18,3,Communications Equipment,13.818216664270999,2014,0.042004617799445976,-0.1949118628986053
140,Northern Indiana Public Service Co,2014-09-29,2,Integrated Utilities,13.930470851557526,2014,0.042004617799445976,-0.1949118628986053
141,Bay State Gas Co,2014-09-29,2,Gas Distribution,13.930470851557526,2014,0.042004617799445976,-0.1949118628986053
142,NiSource Capital Markets Inc,2014-09-29,2,Natural Gas Distributors,13.930470851557526,2014,0.042004617799445976,-0.1949118628986053
143,NiSource Inc,2014-09-29,2,Natural Gas Distributors,13.930470851557526,2014,0.042004617799445976,-0.1949118628986053
144,Tampa Electric Co,2014-10-27,2,Electricity Transmission,13.99891852673224,2014,0.042004617799445976,-0.1949118628986053
145,TECO Finance Inc,2014-10-27,2,Integrated Utilities,13.99891852673224,2014,0.042004617799445976,-0.1949118628986053
146,TECO Energy Inc,2014-10-27,2,Integrated Utilities,13.99891852673224,2014,0.042004617799445976,-0.1949118628986053
147,Level 3 Telecom Holdings LLC,2014-06-16,3,Wireline Telecommunications Services,13.626563173781802,2014,0.042004617799445976,-0.1949118628986053
148,Level 3 Telecom Holdings LLC,2014-11-05,3,Wireline Telecommunications Services,14.015345968774172,2014,0.042004617799445976,-0.1949118628986053
149,Elizabeth Arden Inc,2014-08-29,3,Cosmetics Manufacturing,13.823692478284975,2014,0.042004617799445976,-0.1949118628986053
150,Elizabeth Arden Inc,2014-09-29,3,Cosmetics Manufacturing,13.90856759550162,2014,0.042004617799445976,-0.1949118628986053
151,PotlatchDeltic Corp,2014-10-24,3,Specialty & Other Property REIT,13.971539456662354,2014,0.042004617799445976,-0.1949118628986053
152,PotlatchDeltic Corp,2014-12-11,3,Specialty & Other Property REIT,14.102958992997802,2014,0.042004617799445976,-0.1949118628986053
153,Eni USA Inc,2014-12-22,1,Integrated Oils,14.122124342046723,2014,0.042004617799445976,-0.1949118628986053
154,Signet Jewelers Ltd,2014-05-12,2,Jewelry Stores,13.50335735846732,2014,0.042004617799445976,-0.1949118628986053
155,Laboratory Corp of America Holdings,2014-11-03,2,Clinical Labs,13.979753177683321,2014,0.042004617799445976,-0.1949118628986053
156,Smithfield Foods Inc,2014-04-14,3,Animal Production & Processing,13.415744334243687,2014,0.042004617799445976,-0.1949118628986053
157,Smithfield Foods Inc,2014-04-29,3,Animal Production & Processing,13.456812939348515,2014,0.042004617799445976,-0.1949118628986053
158,Waste Connections Inc,2014-09-30,2,Solid Waste Collection & Treatment,13.875712711417757,2014,0.042004617799445976,-0.1949118628986053
159,Aetna Inc,2014-04-29,1,Managed Care,13.45133712533454,2014,0.042004617799445976,-0.1949118628986053
160,CBRE Services Inc,2014-06-18,3,Real Estate Services,13.585494568676975,2014,0.042004617799445976,-0.1949118628986053
161,CBRE Services Inc,2014-12-11,2,Real Estate Services,14.067366201906953,2014,0.042004617799445976,-0.1949118628986053
162,Sodexo Inc,2014-02-20,1,Food Service Contractors,13.2459940998104,2014,0.042004617799445976,-0.1949118628986053
163,Hochheim Prairie Casualty Insurance Co,2014-05-20,3,Property & Casualty Insurance,13.475978288397435,2014,0.042004617799445976,-0.1949118628986053
164,Hochheim Prairie Casualty Insurance Co,2014-08-28,3,Property & Casualty Insurance,13.749768989096285,2014,0.042004617799445976,-0.1949118628986053
165,Hochheim Prairie Farm Mutual Insurance Association,2014-05-20,3,Property & Casualty Insurance,13.475978288397435,2014,0.042004617799445976,-0.1949118628986053
166,Hochheim Prairie Farm Mutual Insurance Association,2014-08-28,3,Property & Casualty Insurance,13.749768989096285,2014,0.042004617799445976,-0.1949118628986053
167,Kohl's Corp,2014-11-13,2,Mid-Tier Department Stores,13.94142247958548,2014,0.042004617799445976,-0.1949118628986053
168,Tyson Foods Inc,2014-06-10,2,Meat Products Manufacturing,13.511571079488284,2014,0.042004617799445976,-0.1949118628986053
169,Tyson Foods Inc,2014-07-31,2,Meat Products Manufacturing,13.6512043368447,2014,0.042004617799445976,-0.1949118628986053
170,Duquesne Light Co,2014-06-30,2,Utility Networks,13.560853405614079,2014,0.042004617799445976,-0.1949118628986053
171,Duquesne Light Holdings Inc,2014-06-30,2,Integrated Utilities,13.560853405614079,2014,0.042004617799445976,-0.1949118628986053
172,Spire Alabama Inc,2014-04-09,2,Gas Distribution,13.333607124034033,2014,0.042004617799445976,-0.1949118628986053
173,Spire Alabama Inc,2014-09-02,1,Gas Distribution,13.733341547054355,2014,0.042004617799445976,-0.1949118628986053
174,Energen Corp,2014-04-09,2,Crude Oil Production,13.333607124034033,2014,0.042004617799445976,-0.1949118628986053
175,Energen Corp,2014-09-03,3,Crude Oil Production,13.736079454061343,2014,0.042004617799445976,-0.1949118628986053
176,Edison International,2014-04-08,2,Integrated Utilities,13.317179681992101,2014,0.042004617799445976,-0.1949118628986053
177,Hanger Inc,2014-12-16,3,Outpatient Care Centers,14.001656433739228,2014,0.042004617799445976,-0.1949118628986053
178,Apria Healthcare Group Inc,2014-01-30,3,Home Health Care Services,13.125526191502907,2014,0.042004617799445976,-0.1949118628986053
179,Cummins Inc,2014-08-19,1,Commercial Vehicles,13.664893871879642,2014,0.042004617799445976,-0.1949118628986053
180,Cigna Corp,2014-05-19,1,Managed Care,13.407530613222724,2014,0.042004617799445976,-0.1949118628986053
181,National Surety Corp,2014-09-19,1,Property & Casualty Insurance,13.74155526807532,2014,0.042004617799445976,-0.1949118628986053
182,National Surety Corp,2014-12-15,1,Property & Casualty Insurance,13.97975317768332,2014,0.042004617799445976,-0.1949118628986053
183,Fireman's Fund Insurance Co,2014-09-19,1,Property & Casualty Insurance,13.74155526807532,2014,0.042004617799445976,-0.1949118628986053
184,Fireman's Fund Insurance Co,2014-12-15,1,Property & Casualty Insurance,13.97975317768332,2014,0.042004617799445976,-0.1949118628986053
185,American Insurance Co Corp/The,2014-09-19,1,Insurance Services & Other,13.74155526807532,2014,0.042004617799445976,-0.1949118628986053
186,American Insurance Co Corp/The,2014-12-15,1,Insurance Services & Other,13.97975317768332,2014,0.042004617799445976,-0.1949118628986053
187,American Automobile Insurance Co,2014-09-19,1,Property & Casualty Insurance,13.74155526807532,2014,0.042004617799445976,-0.1949118628986053
188,American Automobile Insurance Co,2014-12-15,1,Property & Casualty Insurance,13.97975317768332,2014,0.042004617799445976,-0.1949118628986053
189,Associated Indemnity Corp,2014-09-19,1,Property & Casualty Insurance,13.74155526807532,2014,0.042004617799445976,-0.1949118628986053
190,Associated Indemnity Corp,2014-12-15,1,Property & Casualty Insurance,13.97975317768332,2014,0.042004617799445976,-0.1949118628986053
191,First American Title Insurance Co,2014-10-30,1,Title Insurance,13.853809455361848,2014,0.042004617799445976,-0.1949118628986053
192,Safety Indemnity Insurance Co,2014-11-02,2,Property & Casualty Insurance,13.862023176382815,2014,0.042004617799445976,-0.1949118628986053
193,Safety Insurance Co,2014-11-02,2,Property & Casualty Insurance,13.862023176382815,2014,0.042004617799445976,-0.1949118628986053
194,Safeco Insurance Co of America,2014-07-17,1,Unknown,13.508833172481296,2014,0.042004617799445976,-0.1949118628986053
195,American States Insurance Co,2014-07-17,1,Life Insurance,13.508833172481296,2014,0.042004617799445976,-0.1949118628986053
196,Safeco Corp,2014-07-17,2,Property & Casualty Insurance,13.508833172481296,2014,0.042004617799445976,-0.1949118628986053
197,Southwest Airlines Co,2014-10-31,2,Mainline Airline Revenue - Low Cost,13.788099687194125,2014,0.042004617799445976,-0.1949118628986053
198,Orbital ATK Inc,2014-04-29,3,Defense Primes,13.240518285796423,2014,0.042004617799445976,-0.1949118628986053
199,Avis Budget Car Rental LLC,2014-03-06,3,Passenger Vehicle Rental,13.087195493405066,2014,0.042004617799445976,-0.1949118628986053
200,Avis Budget Car Rental LLC,2014-05-12,3,Passenger Vehicle Rental,13.270635262873297,2014,0.042004617799445976,-0.1949118628986053
201,Jones Group Inc/NY,2014-04-10,3,Apparel Design,13.172070610621711,2014,0.042004617799445976,-0.1949118628986053
202,BWAY Corp,2014-07-31,3,Containers & Packaging Manufacturing,13.451337125334538,2014,0.042004617799445976,-0.1949118628986053
203,Key Energy Services Inc,2014-11-25,3,Oilfield Services & Equipment Manufacturing,13.744293175082309,2014,0.042004617799445976,-0.1949118628986053
204,American Transmission Co LLC,2014-06-23,1,Electricity Transmission,13.270635262873295,2014,0.042004617799445976,-0.1949118628986053
205,Golden Rule Insurance Co,2014-11-03,1,Life Insurance,13.634776894802767,2014,0.042004617799445976,-0.1949118628986053
206,Dun & Bradstreet Corp/The,2014-03-03,2,Information Services,12.955775957069617,2014,0.042004617799445976,-0.1949118628986053
207,Dun & Bradstreet Corp/The,2014-03-24,2,Information Services,13.013272004216375,2014,0.042004617799445976,-0.1949118628986053
208,Kinder Morgan Inc/DE,2014-08-11,3,Dry Natural Gas Pipelines,13.396578985194768,2014,0.042004617799445976,-0.1949118628986053
209,Kinder Morgan Inc/DE,2014-11-20,2,Dry Natural Gas Pipelines,13.673107592900607,2014,0.042004617799445976,-0.1949118628986053
210,Kinder Morgan Kansas Inc,2014-08-11,3,Crude Oil Pipelines & Storage,13.396578985194768,2014,0.042004617799445976,-0.1949118628986053
211,Kinder Morgan Kansas Inc,2014-11-20,2,Crude Oil Pipelines & Storage,13.673107592900607,2014,0.042004617799445976,-0.1949118628986053
212,Aetna Health Insurance Co,2014-04-29,1,Life Insurance,13.10088502844001,2014,0.042004617799445976,-0.1949118628986053
213,General Insurance Co of America,2014-07-17,1,Property & Casualty Insurance,13.30349014695716,2014,0.042004617799445976,-0.1949118628986053
214,GenOn Energy Inc,2014-10-20,3,Fossil Electric - Unregulated,13.560853405614079,2014,0.042004617799445976,-0.1949118628986053
215,NiSource Finance Corp,2014-09-29,2,Natural Gas Distributors,13.492405730439366,2014,0.042004617799445976,-0.1949118628986053
216,GrafTech International Ltd,2014-12-10,3,Industrial Process Furnace & Oven Manufacturing,13.659418057865665,2014,0.042004617799445976,-0.1949118628986053
